Block_Group,Population
40131166032,2782
40131166041,2190
40131166042,1810
40131166051,1702
40131166052,3364
40131166061,1779
40131166062,1875
40131166063,2009
40131166071,2526
40131166081,1869
40131166082,1684
40131166091,1456
40131166092,1720
40131166101,1570
40131166102,2867
40131166111,1547
40131166112,1670
40131166121,2483
40131166122,964
40131166123,1415
40131166131,2447
40131166132,1853
40131166133,2189
40131167021,1791
40131167022,1935
40131167023,2565
40131167024,686
40131167025,862
40131167031,2688
40131167032,1760
40131167041,1574
40131167042,2539
40131167043,2992
40131167071,1333
40131167072,1405
40131167081,1522
40131167082,1048
40131167083,1174
40131167084,1289
40131167091,957
40131167092,832
40131167101,1560
40131167102,1605
40131167103,1473
40131167111,690
40131167112,1188
40131167121,2246
40131167122,1573
40131167123,2578
40131167131,897
40131167132,1163
40131167133,1262
40131167134,1664
40131167135,1118
40131167141,1472
40131167142,1823
40131167151,1200
40131167152,875
40131167171,2087
40131167172,1934
40131167181,2599
40131167191,1693
40131167192,1344
40131167193,1472
40131167194,1895
40131167201,1285
40131167202,980
40131167203,1509
40131167211,1726
40131167212,1810
40131167251,1109
40131167252,723
40131167253,1275
40131167254,1666
40131167271,2629
40131167272,1436
40131167281,1287
40131167282,2081
40131167283,1244
40131167291,1151
40131167292,2019
40131167293,1133
40131167301,1793
40131167311,1917
40131167312,1317
40131167321,2316
40131167322,1130
40131167331,283
40131168001,1003
40131168002,1652
40131169001,2387
40131170001,1720
40131170002,1782
40131170003,2176
40131171001,1830
40131171002,770
40131172001,521
40131172002,832
40131173001,824
40131173002,853
40132168061,1535
40132168062,1432
40132168071,2147
40132168072,1789
40132168073,975
40132168091,2303
40132168092,1063
40132168093,1573
40132168101,1318
40132168131,1486
40132168132,841
40132168133,739
40132168134,975
40132168161,2002
40132168162,1975
40132168163,1554
40132168181,1299
40132168182,1479
40132168183,1810
40132168184,699
40132168185,1357
40132168191,2487
40132168192,2079
40132168193,1520
40132168201,1061
40132168202,1554
40132168203,1446
40132168211,997
40132168212,1553
40132168213,2223
40132168214,964
40132168221,1766
40132168222,1215
