FIPS,land_area
550250111027,8157086
550250112001,38410468
550250112002,22974640
550250112003,25830982
550250112004,15680255
550250113011,16690329
550250113012,4004846
550250113021,1598069
550250113022,4687138
550250113023,411003
550250114011,3277223
550250114012,3259303
550250114013,15712848
550250114021,19943273
550250114022,6303100
550250114023,16676966
550250115031,8967586
550250115032,5675359
550250115041,1849504
550250115042,3277139
550250115051,990551
550250115052,949180
550250115053,583457
550250115061,2819039
550250115062,1807268
550250115063,976147
550250116001,9392799
550250116002,7124311
550250116003,6965899
550250117001,73852838
550250117002,70371904
550250118001,81356666
550250118002,51643233
550250118003,50384165
550250119001,35404364
550250119002,54213763
550250119003,70699638
550250119004,25395849
550250120011,12370447
550250120012,3652577
550250120013,7241600
550250120021,21166858
550250120022,41112605
550250120023,27376007
550250120024,36430159
550250120025,25537476
550250121001,66069097
550250121002,40117498
550250121003,44638273
550250122011,508488
550250122012,9624261
550250122021,2419412
550250122022,693975
550250122023,429780
550250122024,1703880
550250123001,9523784
550250123002,1349225
550250123003,6642465
550250123004,4651596
550250124001,66302243
550250124002,80050709
550250125011,3469020
550250125012,11348410
550250125013,569982
550250125014,3644260
550250125015,6993773
550250125021,15051471
550250125022,11692583
550250125023,2662447
550250126001,173042510
550250126002,62345656
550250126003,42366870
550250127001,147087262
550250127002,84401351
550250128001,6735913
550250128002,2952647
550250128003,11664843
550250128004,26293128
550250129001,62715366
550250129002,98700334
550250129003,78585458
550250130001,21839561
550250130002,14159384
550250131001,21235023
550250131002,42660392
550250131003,30801372
550250131004,33302340
550250132001,93339649
550250132002,83969428
550250132003,3563851
550250132004,7532698
550250132005,52201747
550250133011,12509328
550250133012,3830201
550250133021,3226131
550250133022,1731543
550250133023,3117908
550250137001,8222937
550250137002,10926530
550259917020,0
550259917030,0
550499501001,108772392
550499501002,183142055
550499501003,189258989
550499502001,167227569
550499502002,132486526
550499502003,124807604
550499503001,88140313
550499503002,170167949
550499503003,134857572
550499504001,17153186
550499504002,7914229
550499504003,15336209
550499504004,26949144
550499505001,138186367
550499505002,143508884
550499505003,169983968
550499506001,47267642
550499506002,31917936
550499506003,31102590
550499506004,46891519
40130101011,18037138
40130101012,29375055
40130101013,6873641
40130101021,2369776176
40130101022,11889045
40130101023,326768759
40130304011,10364955
